"park_name"
"Abraham Lincoln Birthplace NHP"
"Acadia NP"
"Arlington House The R.E. Lee MEM"
"Assateague Island NS"
"Aztec Ruins NM"
"Badlands NP"
"Blue Ridge PKWY"
"Boston NHP"
"Bryce Canyon NP"
"Cabrillo NM"
"Cape Cod NS"
"Capulin Volcano NM"
"Carlsbad Caverns NP"
"Casa Grande Ruins NM"
"Castillo de San Marcos NM"
"Castle Clinton NM"
"Chattahoochee River NRA"
"Chesapeake & Ohio Canal NHP"
"Chickamauga & Chattanooga NMP"
"Chickasaw NRA"
"Colonial NHP"
"Colorado NM"
"Crater Lake NP"
"Cuyahoga Valley NP"
"Delaware Water Gap NRA"
"Devils Tower NM"
"El Morro NM"
"Federal Hall NMEM"
"Ford's Theatre NHS"
"Fort McHenry NM & HS"
"Franklin Delano Roosevelt MEM"
"Gateway Arch NP"
"Gateway NRA"
"George Washington Birthplace NM"
"George Washington MEM PKWY"
"Gettysburg NMP"
"Glacier NP"
"Glen Canyon NRA"
"Golden Gate NRA"
"Grand Canyon NP"
"Grand Teton NP"
"Great Smoky Mountains NP"
"Gulf Islands NS"
"Hawaii Volcanoes NP"
"Home of Franklin D. Roosevelt NHS"
"Hot Springs NP"
"Independence NHP"
"John D. Rockefeller, Jr. MEM PKWY"
"John F. Kennedy Center For Pa"
"Kings Canyon NP"
"Korean War Veterans Memorial"
"Lake Mead NRA"
"Lake Meredith NRA"
"Lassen Volcanic NP"
"Lincoln Memorial"
"Mammoth Cave NP"
"Martin Luther King, Jr. Memorial"
"Martin Luther King, Jr. NHP"
"Mesa Verde NP"
"Montezuma Castle NM"
"Morristown NHP"
"Mount Rainier NP"
"Mount Rushmore NMEM"
"Muir Woods NM"
"Natchez Trace PKWY"
"National Capital Parks Central"
"National Capital Parks Combined"
"Olympic NP"
"Ozark NSR"
"Petersburg NB"
"Petrified Forest NP"
"Pinnacles NP"
"Pipe Spring NM"
"Point Reyes NS"
"Rock Creek Park"
"Rocky Mountain NP"
"Saguaro NP"
"San Francisco Maritime NHP"
"San Juan NHS"
"Scotts Bluff NM"
"Sequoia NP"
"Shenandoah NP"
"Shiloh NMP"
"Statue of Liberty NM"
"Thomas Jefferson MEM"
"Tumacacori NHP"
"Valley Forge NHP"
"Vicksburg NMP"
"Vietnam Veterans MEM"
"Washington Monument"
"White House"
"Wind Cave NP"
"World War II Memorial"
"Yellowstone NP"
"Yosemite NP"
"Zion NP"
